title,year
Set It Up,2018)
Christine,2016)
Nas: Time Is Illmatic,2014)
Atlantics,2019)
The Body Remembers When The World Broke Open,2019)
Joan Didion: The Center Will Not Hold,2017)
Kill The Messenger,2014)
Everybody Knows,2018)
Last Breath,2019)
American Honey,2016)
Indian Horse,2018)
The Bank Job,2008)
The Killing of a Sacred Deer,2017)
Dolemite Is My Name,2019)
The Endless Trench,2019)
The Half of It,2020)
Cloudburst,2011)
Spitfire,2018)
Miss Sloane,2016)
Long Shot,NA
The Grizzlies,2020)
The One I Love,2014)
An Education,2009)
The Impossible,2012)
Hostiles,2017)
A Serious Man,2009)
Girl,2019)
Elena,2012)
Croupier,1998)
Beasts of No Nation,2015)
Swiss Army Man,2016)
Burning,2018)
On My Skin,2018)
I’m no Longer Here,2019)
Safety Not Guaranteed,2012)
Into the Inferno,2016)
I Don’t Feel at Home in This World Anymore,2017)
Carol,2015)
And Breathe Normally,2018)
Song of the Sea,2014)
"What Happened, Miss Simone?",2015)
Snowpiercer,2014)
The Squid and the Whale,2005)
A Ghost Story,2017)
The Boy Who Harnessed the Wind,2019)
Uncut Gems,2019)
Dick Johnson Is Dead,2020)
Love Jones,1997)
Lawless,2012)
The Siege of Jadotville,2016)
How to Change the World,2015)
Okja,2017)
The Meyerowitz Stories,New and Selected) 
Handsome Devil,2016)
We the Animals,2018)
The Young Offenders,2016)
20th Century Women,2016)
The Social Dilemma,2020)
Raising Victor Vargas,2003)
Blue Ruin,2013)
Chef,2014)
Good Time,2017)
Private Life,2018)
Wildlife,2018)
The Death of Stalin,2017)
Queen and Slim,NA
The Perks of Being a Wallflower,2012)
Paddleton,2019)
Tell Me Who I Am,2019)
Uppity: The Willy T. Ribbs Story,2020)
The Forty-Year-Old Version,2020)
Election,1999)
The Florida Project,2017)
The Bleeding Edge,NA
Layer Cake,2004)
Undefeated,2011)
The Fundamentals of Caring,2016)
Athlete A,NA
Stranger Than Fiction,2006)
Nightcrawler,2014)
The Disaster Artist,2017)
Flipped,2010)
Philomena,2013)
Frost/Nixon,2008)
Struggle: The Life And Lost Art Of Szukalski,2018)
Mud,2012)
I Am Not Your Negro,2017)
Operation Odessa,2018)
Virunga,2014)
Blackfish,2013)
The Edge of Democracy,2019)
Blue Jay,2016)
The Trial of the Chicago 7,2020)
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017)
Icarus,2017)
Senna,2010)
Captain Fantastic,2016)
The Intouchables,2012)
Hunt for the Wilderpeople,2016)
Fruitvale Station,2013)
